
9999 - Painel - Validar informação de agenda na tela de Painel "Vou receber";passed;
9999 - Painel - Validar informação de painel resumo de faturamento;passed;
9999 - Painel - Validar informação de painel free mensal;passed;
9999 - Painel - Validar informação de painel free semanal;passed;
46121 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso;failed;
46121 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado com mais de um id de contrato no  periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear mais de um CNPJ dentro do periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado com mais de um id de contrato no  periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear mais de um CNPJ dentro do periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado com mais de um id de contrato no  periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear mais de um CNPJ dentro do periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado com mais de um id de contrato no  periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear mais de um CNPJ dentro do periodo de testes via upload de planilha;undefined;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Alterar SUCESSIVAMENTE CNPJ no combo selecao com Sucesso Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;undefined;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;undefined;
9999 - Upload de planilha Desbloquear CNPJ que não tenha contrato ativo;undefined;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado com mais de um id de contrato fora do periodo de testes via upload de planilha;undefined;
9999 - Upload de planilha Desbloquear mais de um CNPJ dentro do periodo de testes via upload de planilha;undefined;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;undefined;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;undefined;
9999 - Upload de planilha Desbloquear CNPJ que não tenha contrato ativo;undefined;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado com mais de um id de contrato fora do periodo de testes via upload de planilha;undefined;
9999 - Upload de planilha Desbloquear mais de um CNPJ dentro do periodo de testes via upload de planilha;undefined;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;failed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;failed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;passed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Upload de planilha Desbloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;failed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado fora periodo de testes via upload de planilha;passed;
9999 - Bloqueio Bloquear CNPJ que esteja contratado no periodo de testes via upload de planilha;failed;
9999 - Bloqueio Efetivar contrata��o dentro do periodo gratuito;undefined;
